¿ª½±ÈÕÆÚ,ÆÚºÅ,ÖÐ½±ºÅÂë,ÏúÊÛ¶î(Ôª),ÖÐ½±×¢ÊýÒ»µÈ½±,ÖÐ½±×¢Êý¶þµÈ½±
2019/10/22,2019121,02  06  15  21  30  31  02,334748934,15  (¼½ Õã Íî Â³..),138
2019/10/15,2019118,12  14  15  25  28  31  04,329400746,6  (½ò ½ú ºÚ »¦..),142
2019/10/13,2019117,03  05  11  28  32  33  01,358734764,5  (¾© Ãö ÔÁ ´¨..),135
2019/10/10,2019116,01  08  09  13  16  33  01,336502106,7  (ÁÉ ËÕ Ô¥ ÉîÛÚ..),146
2019/10/8,2019115,04  10  11  14  15  29  05,354033692,8  (¾© ¼½ ÁÉ »¦..),137
2019/9/29,2019114,02  04  09  11  12  30  01,372847052,4  (ËÕ Ïæ µá),180
2019/9/26,2019113,01  05  19  21  25  33  15,339648916,5  (Õã Ô¥ ÔÁ ´¨),118
2019/9/24,2019112,03  12  14  17  23  27  01,335430712,6  (¼ª ËÕ Â³ ÔÁ..),173
2019/9/22,2019111,07  18  20  22  24  33  01,371095278,6  (¾© ÔÁ),82
2019/9/19,2019110,01  18  22  26  27  28  08,345297696,8  (¾© Õã Íî Â³..),89
2019/9/17,2019109,03  06  07  17  28  31  10,339057352,5  (ËÕ Ãö Ïæ ¹ð),218
2019/9/15,2019108,07  13  19  22  25  32  13,361553454,13  (¼½ ½ú ºÚ »¦..),110
2019/9/12,2019107,02  06  08  23  27  32  02,326852234,2  (ºÚ ¹ð),54
2019/9/10,2019106,02  14  22  27  30  33  14,330410652,3  (¾© Íî Â³),65
2019/9/8,2019105,02  13  15  17  26  33  01,365092568,6  (½ú ÁÉ),85
2019/9/5,2019104,01  05  16  17  18  24  10,336503558,7  (ÃÉ Õã Ãö Â³..),120
2019/9/3,2019103,04  12  14  21  27  29  12,334444954,2  (ºÚ µá),101
2019/9/1,2019102,03  08  12  16  20  32  12,365310214,18  (¼½ ËÕ ¸Ó Ïæ..),198
2019/8/29,2019101,01  04  09  21  31  33  05,336008906,4  (½ú ÁÉ ÔÁ),77
2019/8/22,2019098,03  11  12  14  17  26  09,334187522,4  (ÁÉ ºÚ Õã Ïæ),136
2019/8/20,2019097,03  05  18  24  25  31  09,328319954,5  (ÁÉ ÔÁ ÉÂ ÐÂ),98
2019/8/18,2019096,05  07  12  18  27  32  11,355103324,48  (¼½ ½ú ÁÉ ¸Ó..),310
2019/8/15,2019095,02  05  14  19  21  28  01,327102912,3  (ÁÉ ÔÁ),95
2019/8/13,2019094,05  10  12  18  19  27  06,318739184,8  (ËÕ Õã ¸Ó ÔÁ..),301
2019/8/11,2019093,05  07  08  09  20  22  02,343851622,27  (¾© ¼½ ÃÉ ÁÉ..),629
2019/8/8,2019092,09  17  27  28  32  33  08,325113036,6  (¾© ËÕ Õã Ïæ..),67
2019/8/6,2019091,07  10  21  24  29  32  11,321773688,2  (ÉîÛÚ Óå),94
2019/8/4,2019090,02  03  06  08  14  22  04,355808718,2  (ÁÉ ÔÁ),93
2019/8/1,2019089,02  04  14  16  20  22  11,321183320,7  (ÁÉ Íî ¶õ Ïæ..),104
2019/7/30,2019088,13  14  15  21  23  29  13,320442344,18  (ºÚ ËÕ Õã Â³..),77
2019/7/28,2019087,04  05  07  09  21  30  04,348495228,5  (»¦ Íî),99
2019/7/25,2019086,16  22  24  26  28  31  06,318423888,11  (½ò ËÕ Ãö ¸Ó..),120
2019/7/23,2019085,01  04  14  18  24  29  04,322387974,12  (¼½ ËÕ Â³ ¶õ..),61
2019/7/21,2019084,04  08  14  18  20  27  03,356282880,15  (ÃÉ Õã Íî Â³..),300
2019/7/18,2019083,06  15  17  26  28  31  03,329029762,10  (¼½ ËÕ Õã Íî..),118
2019/7/16,2019082,07  16  19  22  24  28  02,328221990,5  (¼½ ÁÉ Íî ÔÁ),91
2019/7/14,2019081,05  24  27  29  31  32  10,359862504,5  (ËÕ Â³ ÔÁ Óå),58
2019/7/7,2019078,01  17  27  29  31  33  12,358699764,14  (¾© ºÚ ËÕ Õã..),199
2019/7/4,2019077,09  11  13  18  21  22  15,331156004,1  (Õã),118
2019/7/2,2019076,12  15  19  20  29  32  14,327737064,4  (ÉîÛÚ ´¨),84
2019/6/30,2019075,05  08  20  22  31  33  03,356452390,2  (Ãö ÔÁ),69
2019/6/27,2019074,12  21  27  29  31  33  04,339313032,4  (¼½ »¦ Íî ÉÂ),51
2019/6/25,2019073,01  02  06  12  16  18  08,334373706,17  (¼½ ½ú ÃÉ ËÕ..),146
2019/6/23,2019072,02  09  13  15  22  30  15,366310328,10  (¼½ Õã ¸Ó Â³..),155
2019/6/20,2019071,01  08  19  24  29  30  04,338921834,22  (½ú »¦ Õã Ô¥..),371
2019/6/18,2019070,06  15  18  19  24  32  09,335727814,3  (Õã Óå ´¨),103
2019/6/16,2019069,06  11  16  19  21  25  01,370103190,8  (ÁÉ Õã Ãö ¸Ó..),226
2019/6/13,2019068,03  14  20  24  26  33  10,331635522,6  (½ú ºÚ ÔÁ ´¨..),64
2019/6/11,2019067,04  06  08  11  30  33  11,330381956,5  (¾© ÁÉ ËÕ Ïæ),110
2019/6/9,2019066,01  14  17  20  22  32  04,354505682,6  (ÃÉ Â³ Ô¥ ¹ð..),86
2019/6/6,2019065,06  09  11  15  20  26  10,327400036,10  (¾© ¼½ ÁÉ ËÕ..),317
2019/6/4,2019064,12  20  24  25  30  33  12,331639006,4  (»¦ Õã ¹ð ¹ó),92
2019/6/2,2019063,01  14  19  22  29  31  16,361222550,5  (ºÚ Ô¥ ¶õ Çí),91
2019/5/30,2019062,07  13  16  23  26  30  01,339468976,7  (»¦ ËÕ Õã ¶õ..),161
2019/5/28,2019061,03  17  19  24  27  31  12,335296666,6  (¾© Íî Óå ´¨..),80
2019/5/21,2019058,07  08  12  21  23  27  12,339299672,20  (¼½ ºÚ »¦ ËÕ..),127
2019/5/19,2019057,04  05  06  08  13  18  16,372560948,7  (ºÚ »¦ Ïæ ÉîÛÚ..),127
2019/5/16,2019056,13  14  17  19  21  29  01,351267630,1  (¸Ó),78
2019/5/14,2019055,01  06  11  15  19  31  10,350070872,2  (Ô¥ ÔÁ),61
2019/5/12,2019054,07  10  11  15  24  26  11,376075414,8  (¾© ¼ª Â³ ¶õ..),132
2019/5/9,2019053,04  16  22  25  29  31  08,345533966,12  (ÃÉ »¦ ËÕ ¶õ..),109
2019/5/7,2019052,03  06  09  13  16  19  16,342251970,153  (¾© ½ò ¼½ ½ú..),2295
2019/5/5,2019051,08  09  10  13  15  28  09,371316762,13  (½ú ÃÉ ¼ª ºÚ..),120
2019/5/2,2019050,04  06  10  11  21  23  02,311858860,13  (ÁÉ ¼ª »¦ Íî..),100
2019/4/30,2019049,03  10  13  22  23  28  15,333775314,9  (¾© ½ò ºÚ Õã..),205
2019/4/28,2019048,03  07  10  12  18  29  10,379210874,8  (¼½ ËÕ Ïæ ÔÁ),153
2019/4/25,2019047,03  11  18  25  30  33  14,349665886,1  (ÔÁ),388
2019/4/23,2019046,02  12  16  22  25  32  06,349236650,17  (½ò ºÚ »¦ Õã..),132
2019/4/21,2019045,01  06  17  19  27  31  14,380577960,7  (ÁÉ ËÕ ÔÁ ÉîÛÚ..),83
2019/4/18,2019044,06  14  16  17  23  29  07,350579948,12  (½ò Õã Íî Ïæ..),188
2019/4/16,2019043,01  06  12  13  24  32  13,345296562,2  (Â³ ¶õ),99
2019/4/14,2019042,15  17  19  22  25  26  04,376134240,4  (¼½ ½ú Ãö Â³),132
2019/4/11,2019041,02  09  13  23  24  26  16,347145834,2  (¸Ó Ô¥),103
2019/4/4,2019038,09  12  21  27  29  30  05,335328036,10  (»¦ Õã ¶õ Óå..),101
2019/4/2,2019037,01  07  12  14  18  25  10,344923376,12  (ËÕ Õã Â³ Ô¥..),213
2019/3/31,2019036,02  10  13  16  23  32  08,383547756,21  (½ò ¼½ ÁÉ ¼ª..),85
2019/3/28,2019035,01  05  07  09  10  20  16,354951028,11  (¾© ¼½ ºÚ »¦..),233
2019/3/26,2019034,09  11  15  22  24  26  03,354652922,10  (¾© ¼½ ÁÉ »¦..),103
2019/3/24,2019033,09  15  19  21  23  29  15,385168218,22  (½ú ËÕ Õã Ô¥..),224
2019/3/21,2019032,04  08  09  13  28  33  04,353034100,6  (»¦ ËÕ ÔÁ ¹ó..),228
2019/3/19,2019031,03  13  15  18  21  33  16,358344316,5  (ËÕ Óå),119
2019/3/17,2019030,04  05  07  10  12  22  16,392415448,17  (½ú ¼ª Õã Íî..),196
2019/3/14,2019029,08  11  17  23  32  33  10,358515950,6  (ÃÉ Õã Ãö Â³..),83
2019/3/12,2019028,04  19  22  26  29  30  11,356878622,11  (¼½ Ãö Â³ Ô¥..),165
2019/3/10,2019027,02  06  08  10  11  17  13,393236612,9  (Â³ Ïæ ÔÁ ¹ó),223
2019/3/7,2019026,03  13  15  19  20  27  14,349411720,10  (¾© ÃÉ Íî ¸Ó..),105
2019/3/5,2019025,15  16  21  27  30  33  04,345714892,5  (ÁÉ ºÚ Ïæ ¹ð),74
2019/3/3,2019024,01  08  23  25  28  29  10,384117562,8  (½ò »¦ Õã Ïæ..),99
2019/2/28,2019023,01  10  14  15  18  31  13,353488994,13  (ÃÉ ºÚ ËÕ Õã..),336
2019/2/26,2019022,03  07  11  21  30  33  07,338829860,19  (ËÕ Íî ¸Ó Â³..),169
2019/2/24,2019021,02  05  07  08  20  27  04,370839306,6  (½ò Ô¥ ¶õ ´¨..),214
2019/2/17,2019018,04  11  18  19  26  32  04,349743310,8  (ËÕ Õã Íî ÔÁ..),364
2019/2/14,2019017,04  05  24  28  30  33  09,312764888,3  (ÁÉ »¦ µá),50
2019/2/12,2019016,05  07  09  11  19  25  05,314659700,11  (¼½ ÃÉ Â³ Ô¥..),157
2019/2/3,2019015,11  15  16  20  24  31  04,386508326,13  (½ú ÁÉ ºÚ ËÕ..),181
2019/1/31,2019014,01  02  03  14  19  33  03,327526362,7  (ÁÉ ËÕ Ô¥ ÔÁ),168
2019/1/29,2019013,05  07  14  16  18  21  01,332648408,4  (ºÚ Õã Ô¥ ÉÂ),77
2019/1/27,2019012,07  10  21  23  31  33  14,370443836,2  (ºÚ),55
2019/1/24,2019011,10  13  19  21  24  30  07,340431350,4  (¼½ ÁÉ Ô¥),72
2019/1/22,2019010,02  04  05  08  11  30  02,336769874,15  (¾© ¼½ ½ú ºÚ..),178
2019/1/20,2019009,01  07  10  22  31  32  15,376873348,12  (ÁÉ Â³ Ïæ ÔÁ..),122
2019/1/17,2019008,02  06  09  13  28  32  12,342498692,4  (Â³ ÔÁ Óå ´¨),86
2019/1/15,2019007,06  10  14  15  19  23  15,340543166,9  (¼ª Õã Ô¥ ¶õ..),198
2019/1/13,2019006,01  05  10  19  26  28  12,375825296,32  (¾© ½ú ÁÉ ºÚ..),96
2019/1/10,2019005,21  22  26  28  31  32  07,343365078,11  (ËÕ Ãö ¸Ó Ô¥..),68
2019/1/8,2019004,08  12  16  19  26  32  03,338080388,8  (ÁÉ ËÕ Ô¥ ´¨..),222
2019/1/6,2019003,13  17  20  21  22  27  01,373728002,5  (»¦ Õã Â³ ÉÂ),129
2019/1/3,2019002,04  05  06  08  09  18  11,345144344,9  (¾© »¦ Ô¥ ÔÁ..),129
2019/1/1,2019001,06  10  13  15  32  33  15,341453440,14  (Õã Â³ ÉîÛÚ Óå..),147
2018/12/25,2018151,05  15  19  25  26  29  15,345353380,4  (ÁÉ Ãö ¸Ó Ô¥),203
2018/12/23,2018150,06  08  15  19  20  31  05,377320206,15  (¼½ ÃÉ »¦ ËÕ..),270
2018/12/20,2018149,01  07  08  10  12  24  01,353364860,12  (ÁÉ ºÚ ËÕ Õã..),212
2018/12/18,2018148,03  06  18  19  21  31  01,346743178,11  (Õã Íî Ô¥ ÔÁ..),210
2018/12/16,2018147,03  15  17  23  27  30  11,378419434,11  (ÁÉ »¦ ËÕ Ãö..),102
2018/12/13,2018146,02  10  11  17  18  29  16,345409226,13  (¾© ËÕ Õã Â³..),157
2018/12/11,2018145,03  09  13  22  23  25  06,349376292,21  (ÁÉ »¦ Õã Íî..),172
2018/12/9,2018144,08  13  17  18  20  27  13,387956028,1  (½ò),117
2018/12/6,2018143,04  06  15  28  32  33  14,373157016,16  (¼½ ÃÉ Õã Â³..),117
2018/12/4,2018142,05  08  10  11  27  28  11,390581690,16  (¼½ ºÚ »¦ Õã..),242
2018/12/2,2018141,11  14  16  18  24  33  04,416166816,2  (Íî Ïæ),115
2018/11/29,2018140,01  15  20  22  25  28  14,386006162,0,103
2018/11/27,2018139,11  18  20  23  31  32  15,380559364,10  (ÁÉ ËÕ Â³ ÔÁ..),82
2018/11/25,2018138,01  10  25  27  30  32  09,412013682,3  (Íî ÔÁ ÉÂ),67
2018/11/22,2018137,03  05  11  15  20  23  09,379485292,10  (ÃÉ ¼ª ËÕ Óå..),141
2018/11/20,2018136,10  12  15  25  26  27  14,377111910,6  (¼½ ÁÉ ¶õ ÔÁ..),149
2018/11/18,2018135,01  03  06  10  11  29  16,406719454,4  (¾© ½ú ÁÉ Ô¥),133
2018/11/15,2018134,03  16  18  31  32  33  12,377767366,11  (¾© ÁÉ ËÕ Íî..),297
2018/11/8,2018131,21  22  24  31  32  33  01,383809176,2  (¼½ Õã),125
2018/11/6,2018130,05  12  17  18  24  28  12,374274632,17  (¾© ½ú ºÚ »¦..),841
2018/11/4,2018129,02  04  06  16  18  19  16,418290398,7  (¾© ÁÉ Â³ Ô¥..),117
2018/11/1,2018128,06  07  08  19  22  23  02,388471822,11  (ÃÉ ÁÉ ËÕ Íî..),300
2018/10/30,2018127,02  05  06  07  11  15  12,383266268,13  (ÃÉ »¦ Õã Íî..),202
2018/10/28,2018126,01  06  08  09  14  22  05,415778246,8  (Íî Ïæ ¹ó µá..),138
2018/10/25,2018125,03  10  11  14  15  32  02,391293382,3  (¼½ ÃÉ ÁÉ),54
2018/10/23,2018124,09  13  14  19  22  25  02,378069006,4  (Â³ Ïæ ÔÁ Çà),127
2018/10/21,2018123,13  21  24  27  31  32  01,410429482,6  (Ô¥ ¶õ ÔÁ ¹ó..),115
2018/10/18,2018122,05  07  20  22  30  32  10,327644802,31  (¼½ ½ú ÁÉ ºÚ..),230
2018/10/16,2018121,06  08  14  19  23  25  11,321305376,11  (ÁÉ Õã ¸Ó ¶õ..),142
2018/10/14,2018120,03  04  18  26  27  33  01,357215818,5  (½ò ¼½ ÁÉ ¶õ),185
2018/10/11,2018119,03  13  14  16  25  27  12,328321394,10  (¼½ ½ú ºÚ Ïæ..),117
2018/10/9,2018118,08  12  21  22  27  31  09,322015414,7  (Õã ¶õ ÔÁ ÉîÛÚ..),140
2018/10/7,2018117,08  11  15  17  23  25  05,340052040,6  (¾© ËÕ Â³ ÔÁ..),189
2018/10/4,2018116,05  14  17  22  23  28  15,281786404,44  (ÃÉ ºÚ Õã Ïæ..),320
2018/10/2,2018115,01  13  19  24  26  29  11,273986534,1  (ÔÁ),52
2018/9/30,2018114,01  07  15  16  20  27  14,336072030,6  (½ò Õã Ãö ´¨..),203
2018/9/23,2018111,01  07  14  24  25  28  08,320180512,11  (¾© ÁÉ »¦ Õã..),143
2018/9/20,2018110,11  13  16  21  22  23  02,307066624,2  (¼ª Óå),66
2018/9/18,2018109,10  11  18  23  31  33  15,306989720,4  (ºÚ ËÕ Â³ ´¨),69
2018/9/16,2018108,05  13  18  21  26  30  02,322147946,22  (¾© ¼½ »¦ Õã..),179
2018/9/13,2018107,01  02  05  12  20  22  01,317508712,6  (ÁÉ Õã ¸Ó Â³..),139
2018/9/11,2018106,04  18  19  24  25  26  10,312096980,4  (¾© ÁÉ Â³),125
2018/9/9,2018105,04  05  13  18  19  25  01,343324268,17  (¾© »¦ ËÕ Íî..),150
2018/9/6,2018104,02  03  06  19  25  29  01,312637426,5  (¾© ÁÉ »¦ Â³..),158
2018/9/4,2018103,02  09  15  22  23  24  16,314574584,7  (¼ª Ãö ¸Ó Â³..),111
2018/9/2,2018102,02  06  11  19  21  28  05,340812198,4  (Õã Ãö Â³ ´¨),163
2018/8/30,2018101,01  03  14  26  29  33  09,308676480,5  (¼½ Õã ÔÁ),70
2018/8/28,2018100,02  11  14  15  29  33  02,309533260,3  (¼½ Â³ Ô¥),91
2018/8/26,2018099,03  07  08  14  25  32  06,339383254,12  (¼½ ½ú ºÚ Õã..),242
2018/8/23,2018098,06  10  11  20  29  32  13,314746902,9  (½ú ÁÉ ËÕ Íî..),125
2018/8/21,2018097,01  02  17  20  25  28  13,313501772,1  (ÔÁ),38
2018/8/19,2018096,01  05  09  20  28  32  12,338691852,23  (»¦ ËÕ Õã Ô¥..),150
2018/8/16,2018095,10  11  12  21  26  33  09,320539494,4  (ÁÉ Ãö ÔÁ),87
2018/8/14,2018094,04  07  16  20  24  30  05,314204036,0,148
2018/8/7,2018091,06  11  13  17  25  32  07,315853082,4  (¾© ËÕ Õã),81
2018/8/5,2018090,01  02  04  10  14  23  07,340370390,12  (¾© ÁÉ Íî Ãö..),85
2018/8/2,2018089,06  09  12  14  18  27  14,312432712,5  (½ú ËÕ Õã Óå..),172
2018/7/31,2018088,03  05  12  29  30  32  14,315199378,8  (½ú Õã ¶õ Ïæ..),69
2018/7/29,2018087,01  05  10  16  18  31  03,348603358,3  (Óå ¸Ê),74
2018/7/26,2018086,02  07  17  21  23  26  16,322631262,18  (ËÕ Õã Íî ¶õ..),109
2018/7/24,2018085,04  10  25  26  30  33  06,322576362,8  (½ò Õã ¹ð Óå..),88
2018/7/22,2018084,05  06  08  12  22  24  03,347865554,13  (¾© ÃÉ ºÚ »¦..),249
2018/7/19,2018083,04  09  18  21  32  33  03,323565026,11  (ËÕ ÔÁ µá),126
2018/7/17,2018082,06  12  14  20  22  24  09,319081284,8  (¼½ Õã Ô¥ ´¨),140
2018/7/15,2018081,01  02  12  16  20  26  03,349698540,5  (½ú ¼ª »¦ ÉÂ),154
2018/7/12,2018080,04  07  13  20  29  33  03,325310442,6  (¼½ Õã Ïæ ¹ð..),128
2018/7/10,2018079,14  15  17  22  24  29  13,327442428,2  (Õã Ãö),77
2018/7/8,2018078,03  10  14  17  18  30  12,358569878,6  (ÃÉ ¼ª ËÕ Õã..),204
2018/7/5,2018077,02  05  09  15  20  24  10,327832004,7  (¼½ ÁÉ Õã ¹ð..),109
2018/7/3,2018076,03  07  08  15  29  30  13,327873252,22  (¼½ ÁÉ ¼ª ºÚ..),363
2018/7/1,2018075,07  09  12  13  22  24  11,356378720,17  (»¦ ËÕ Â³ ÔÁ..),120
2018/6/28,2018074,09  11  14  20  27  30  09,327800026,9  (ÁÉ ºÚ ËÕ Õã..),120
2018/6/21,2018071,02  05  06  13  16  19  03,348880396,9  (ºÚ ËÕ Õã Íî..),110
2018/6/19,2018070,04  09  15  16  19  27  10,339461364,13  (ÃÉ »¦ Íî ¸Ó..),138
2018/6/17,2018069,06  13  17  19  23  31  12,355213336,5  (Õã ÔÁ ¹ð Óå),126
2018/6/14,2018068,08  10  17  20  27  30  01,332649368,3  (¾© Ïæ ÔÁ),225
2018/6/12,2018067,01  04  09  12  15  18  05,324647042,8  (¾© Íî Â³ Çí..),122
2018/6/10,2018066,09  16  17  19  22  26  10,357968382,10  (Õã ¸Ó ÔÁ ´¨),195
2018/6/7,2018065,01  04  06  14  28  33  01,329937636,6  (¾© ÃÉ Íî ÔÁ..),123
2018/6/5,2018064,02  05  10  11  17  21  05,329557586,12  (¾© ¼½ ÁÉ Õã..),149
2018/6/3,2018063,05  06  10  16  20  25  12,358387608,27  (¼½ ÁÉ »¦ Õã..),315
2018/5/31,2018062,02  18  19  24  25  33  11,326938646,6  (Â³ ¹ð Óå ´¨..),109
2018/5/29,2018061,09  10  11  12  18  23  07,332550974,15  (¼½ ½ú »¦ ËÕ..),213
2018/5/27,2018060,04  08  13  25  30  31  10,364451892,5  (ÁÉ ËÕ Ãö ¶õ..),111
2018/5/24,2018059,04  06  08  13  22  32  11,335528070,5  (½ú ËÕ ¹ó µá..),69
2018/5/22,2018058,07  12  13  16  26  31  07,328678478,11  (ÁÉ ÉîÛÚ ÉÂ),120
2018/5/20,2018057,05  15  17  19  20  30  13,360079018,9  (¼½ ¼ª Ãö Â³..),193
2018/5/17,2018056,01  03  06  20  21  26  01,332042280,7  (»¦ Â³ ÔÁ ´¨),187
2018/5/15,2018055,07  09  10  12  22  26  07,328077816,39  (¼½ ËÕ Õã Â³..),131
2018/5/13,2018054,04  06  18  22  25  33  16,364343470,4  (¼½ ËÕ ¶õ ÐÂ),86
2018/5/6,2018051,05  07  20  23  27  31  04,362286900,5  (ËÕ Â³ ÔÁ ¸Ê..),146
2018/5/3,2018050,01  02  04  10  18  19  07,332612986,7  (¼ª ºÚ Õã Óå..),146
2018/5/1,2018049,01  03  04  11  19  23  02,308606382,7  (Õã Â³),88
2018/4/29,2018048,01  12  20  25  30  31  02,347082070,4  (½ò Õã ¹ð ´¨),76
2018/4/26,2018047,06  07  12  16  22  25  07,340211348,9  (»¦ Õã Ãö ¸Ó..),102
2018/4/24,2018046,10  13  14  18  20  31  03,341414200,2  (ÁÉ Íî),100
2018/4/22,2018045,03  04  06  25  26  30  01,381384846,3  (Â³ ¹ð ¸Ê),82
2018/4/19,2018044,05  09  12  17  27  30  06,351490126,22  (¾© ½ò ÃÉ ºÚ..),643
2018/4/17,2018043,01  04  06  08  21  24  07,350595736,6  (¼½ ÃÉ Õã ¶õ..),93
2018/4/15,2018042,06  10  21  28  29  31  12,373384922,14  (ºÚ Â³ Ô¥ ¶õ..),163
2018/4/12,2018041,07  08  20  23  24  32  13,342614774,4  (¼½ ËÕ Õã ´¨),64
2018/4/10,2018040,01  03  08  13  18  23  16,341719534,11  (¼½ ½ú ÁÉ »¦..),283
2018/4/8,2018039,08  12  18  19  23  32  03,368394896,6  (¸Ó Â³ Ô¥ Ïæ..),168
2018/4/5,2018038,15  23  24  25  28  29  09,303245456,5  (ËÕ Õã ÉîÛÚ ¹ð..),75
2018/4/3,2018037,01  06  07  08  27  30  10,336334062,12  (¼½ ÁÉ ¼ª Â³..),137
2018/4/1,2018036,08  17  24  26  28  33  04,375931002,4  (ËÕ ÉîÛÚ ÉÂ),117
2018/3/29,2018035,07  10  11  17  23  28  15,350309396,6  (Õã Ïæ ÔÁ ÉîÛÚ..),289
2018/3/27,2018034,01  05  11  22  23  26  15,348544506,8  (ÁÉ ¼ª Íî Â³..),122
2018/3/20,2018031,02  16  18  19  27  30  14,345048756,3  (ÃÉ ËÕ Ãö),116
2018/3/18,2018030,13  14  20  21  25  33  07,388492136,1  (ËÕ),98
2018/3/15,2018029,01  02  09  14  22  25  05,349939456,5  (½ú ÁÉ Õã Ô¥),85
2018/3/13,2018028,03  08  11  14  18  23  16,352015830,7  (½ò ÃÉ »¦ Õã..),220
2018/3/11,2018027,02  07  09  14  18  28  05,386579026,6  (ËÕ Ãö Â³ ¶õ),144
2018/3/8,2018026,04  07  12  14  26  32  04,341958742,6  (ËÕ ¸Ó Â³ Ïæ..),75
2018/3/6,2018025,04  13  16  19  21  25  14,341614936,1  (¹ð),83
2018/3/4,2018024,11  19  22  26  31  32  02,373443496,9  (ºÚ ¸Ó Ô¥ Ïæ..),81
2018/3/1,2018023,12  15  16  21  26  29  16,339395846,3  (¾© ½ò ËÕ),159
2018/2/27,2018022,07  14  19  21  22  23  03,333617132,6  (ÁÉ ºÚ Â³ Ïæ..),111
2018/2/25,2018021,03  04  06  11  23  28  14,364661036,3  (ÁÉ ËÕ ÉÂ),216
2018/2/22,2018020,06  09  10  14  28  30  05,322991340,33  (¾© ¼½ ½ú Ãö..),212
2018/2/13,2018019,03  11  12  16  21  23  09,353382992,8  (¾© ¼½ ºÚ ËÕ..),80
